name,number,product_url,thumb_url,hover_url,description
Blackened,2011,https://www.farrow-ball.com/paint/blackened,https://www.farrow-ball.com/media/catalog/product/b/l/blackened_no._2011_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_blackened2011_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Blackened is our coolest white, with a hint of grey, historically made with the addition of lamp black pigment. Available in-store and online."
Blanc De Chine,9814,https://www.farrow-ball.com/paint/blanc-de-chine,https://www.farrow-ball.com/media/catalog/product/b/l/blanc_de_chine_no._9814_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/l/blanc_de_chine_no._9814_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Blanc de Chine takes its name from the exquisite porcelain originally made by the master potters of China's Fujian province. Available in-store and online.
Blanc De Treillage,,https://www.farrow-ball.com/paint/blanc-de-treillage,https://www.farrow-ball.com/media/catalog/product/b/l/blanc_de_treillage_no._g1_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_blancdetreillageg1_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Blanc de Treillage is an understated warm white paint colour that works well in any kind of supporting role within the home. Available in-store and online.
Blazer,212,https://www.farrow-ball.com/paint/blazer,https://www.farrow-ball.com/media/catalog/product/b/l/blazer_no._212_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_blazer212_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Blazer is a bright and cheerful and grabs your attention just like the sports blazers worn at St John’s College. Available in-store and online.
Blooth Pink,9806,https://www.farrow-ball.com/paint/blooth-pink,https://www.farrow-ball.com/media/catalog/product/b/l/blooth_pink_no._9806_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/c/h/chocolatebox37_blooth_pink.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Blooth Pink is a pretty, yellowed pink that takes it's name from the Dorset dialect word for 'blossom'. Available in-store and online."
Blue Gray,91,https://www.farrow-ball.com/paint/blue-gray,https://www.farrow-ball.com/media/catalog/product/b/l/blue_gray_no._91_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_bluegray91_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Blue Gray is a cool blue grey which creates the most relaxed of rooms that feel as if they have always been there. Available in-store and online.
Blue Ground,210,https://www.farrow-ball.com/paint/blue-ground,https://www.farrow-ball.com/media/catalog/product/b/l/blue_ground_no._210_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_blueground210_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Blue Ground is a clean mid blue which creates an upbeat and happy atmosphere which is often used as an accent colour. Available in-store and online.
Blue Maize,,https://www.farrow-ball.com/paint/blue-maize,https://www.farrow-ball.com/media/catalog/product/b/l/blue_maize_no._cb11_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_bluemaizecb11_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Blue Maize is a deep blue inspired by the unique hue of corn popular in Mexico and the Southern States. Available in-store and online.
Bombazine,9902,https://www.farrow-ball.com/paint/bombazine,https://www.farrow-ball.com/media/catalog/product/b/o/bombazine_no._9902_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/o/bombazine_no._9902_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Bombazine is somewhere between cream and yellow and takes its name from a twilled dress fabric of worsted and silk. Available in-store and online.
Bone,15,https://www.farrow-ball.com/paint/bone,https://www.farrow-ball.com/media/catalog/product/b/o/bone_no._15_-_swirl_2.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_bone15_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Bone is a soft grey with a touch of green, and is simply named after the colour of bones found in the animal kingdom Available in-store and online."
Book Room Red,50,https://www.farrow-ball.com/paint/book-room-red,https://www.farrow-ball.com/media/catalog/product/b/o/book_room_red_no._50_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_bookroomred50_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Book Room Red is an aged terracotta and the muddiest of our reds. It is particularly suited to smaller spaces. Available in-store and online.
