decor_id,decor_name,decor,texture,product_page_url,image_url
H3176 ST37,Pewter Halifax Oak ,H3176,ST37,https://www.egger.com/en/furniture-interior-design/decors/H3176_37,https://cdn.egger.com/img/pim/8854403612702/8854539599902/original.png
H3176 ST37,Pewter Halifax Oak ,H3176,ST37,https://www.egger.com/en/furniture-interior-design/decors/H3176_37,https://cdn.egger.com/img/pim/8854403743774/8854539632670/original.png
H3180 TM12,Brown Halifax Oak ,H3180,TM12,https://www.egger.com/en/furniture-interior-design/decors/H3180_TM12,https://cdn.egger.com/img/pim/8855293689886/8855443439646/original.png
H3180 TM12,Brown Halifax Oak ,H3180,TM12,https://www.egger.com/en/furniture-interior-design/decors/H3180_TM12,https://cdn.egger.com/img/pim/8855293755422/8855443472414/original.png
H3180 TM37,Brown Halifax Oak ,H3180,TM37,https://www.egger.com/en/furniture-interior-design/decors/H3180_TM37,https://cdn.egger.com/img/pim/8855165763614/8855443537950/original.png
H3180 TM37,Brown Halifax Oak ,H3180,TM37,https://www.egger.com/en/furniture-interior-design/decors/H3180_TM37,https://cdn.egger.com/img/pim/8855165894686/8855443570718/original.png
H3190 ST19,Anthracite Fineline Metallic ,H3190,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3190_19,https://cdn.egger.com/img/pim/8854405185566/8854539993118/original.png
H3190 ST19,Anthracite Fineline Metallic ,H3190,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3190_19,https://cdn.egger.com/img/pim/8854405316638/8854540025886/original.png
H3195 ST19,White Fineline  ,H3195,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3195_19,https://cdn.egger.com/img/pim/8854406758430/8854540091422/original.png
H3195 ST19,White Fineline  ,H3195,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3195_19,https://cdn.egger.com/img/pim/8854406889502/8854540124190/original.png
H3197 ST19,Medium Grey Fineline ,H3197,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3197_19,https://cdn.egger.com/img/pim/8854407544862/8854540189726/original.png
H3197 ST19,Medium Grey Fineline ,H3197,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3197_19,https://cdn.egger.com/img/pim/8854407675934/8854540222494/original.png
H3198 ST19,Dark Grey Fineline ,H3198,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3198_19,https://cdn.egger.com/img/pim/8854407938078/8854540288030/original.png
H3198 ST19,Dark Grey Fineline ,H3198,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3198_19,https://cdn.egger.com/img/pim/8854408069150/8854540320798/original.png
H3303 ST10,Natural Hamilton Oak ,H3303,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3303_10,https://cdn.egger.com/img/pim/8854408724510/8854540386334/original.png
H3303 ST10,Natural Hamilton Oak ,H3303,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3303_10,https://cdn.egger.com/img/pim/8854408855582/8854540419102/original.png
H3303 ST10,Natural Hamilton Oak ,H3303,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3303_10,https://cdn.egger.com/img/pim/8855068540958/8855068573726/original.png
H3309 ST28,Sand Gladstone Oak ,H3309,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3309_28,https://cdn.egger.com/img/pim/8854409117726/8854540484638/original.png
H3309 ST28,Sand Gladstone Oak ,H3309,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3309_28,https://cdn.egger.com/img/pim/8854409248798/8854540517406/original.png
H3309 ST28,Sand Gladstone Oak ,H3309,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3309_28,https://cdn.egger.com/img/pim/8855068606494/8855068639262/original.png
H3311 ST28,Bleached Cuneo Oak ,H3311,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3311_28,https://cdn.egger.com/img/pim/8854540877854/8854540910622/original.png
H3311 ST28,Bleached Cuneo Oak ,H3311,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3311_28,https://cdn.egger.com/img/pim/8854541008926/8854541041694/original.png
H3311 TM12,Bleached Cuneo Oak ,H3311,TM12,https://www.egger.com/en/furniture-interior-design/decors/H3311_TM12,https://cdn.egger.com/img/pim/8855293886494/8855443636254/original.png
H3311 TM12,Bleached Cuneo Oak ,H3311,TM12,https://www.egger.com/en/furniture-interior-design/decors/H3311_TM12,https://cdn.egger.com/img/pim/8855293952030/8855443669022/original.png
H3311 TM28,Bleached Cuneo Oak ,H3311,TM28,https://www.egger.com/en/furniture-interior-design/decors/H3311_TM28,https://cdn.egger.com/img/pim/8855166877726/8855443734558/original.png
H3311 TM28,Bleached Cuneo Oak ,H3311,TM28,https://www.egger.com/en/furniture-interior-design/decors/H3311_TM28,https://cdn.egger.com/img/pim/8855167008798/8855443767326/original.png
H3317 ST28,Brown Cuneo Oak ,H3317,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3317_28,https://cdn.egger.com/img/pim/8854541271070/8855167500318/original.png
H3317 ST28,Brown Cuneo Oak ,H3317,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3317_28,https://cdn.egger.com/img/pim/8854541402142/8855167533086/original.png
